Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
61,74060,11,6,97.4,18.0,incident,30,49,10.43,10.43,8.93,363.65,15.86,100.0,10.67,10.67,9.17,339.97,11.09,100.0,13.3,13.3,11.8,526.11,0.0,100.0,2.29,2.67,QPSO,21.59,24.34,QPSO
62,59008,17,6,119.8,13.0,uniform,35,39,13.28,13.28,11.78,500.64,14.26,100.0,15.01,15.01,13.51,592.46,11.8,100.0,17.83,17.83,16.33,728.86,0.0,100.0,11.51,12.79,QPSO,25.49,27.83,QPSO
63,34972,11,6,115.9,18.0,uniform,28,39,9.33,9.33,8.33,325.64,10.86,100.0,11.13,11.13,9.63,410.24,11.91,100.0,11.97,11.97,10.97,475.01,0.01,100.0,16.22,13.55,QPSO,22.06,24.07,QPSO
64,11155,12,5,86.3,17.5,uniform,24,29,10.38,10.38,8.88,328.52,10.12,100.0,10.38,10.38,8.88,328.52,8.08,100.0,12.67,12.67,11.17,425.66,0.01,100.0,-0.0,-0.0,Tie,18.07,20.49,QPSO
65,31311,14,4,112.4,13.0,rush_hour,30,42,12.93,12.93,11.43,506.53,13.32,100.0,13.0,13.0,11.5,417.38,10.94,100.0,16.17,16.17,14.67,676.38,0.01,100.0,0.56,0.64,QPSO,20.05,22.11,QPSO
66,62069,14,6,82.4,13.0,incident,20,49,10.84,10.84,9.34,394.55,14.54,100.0,11.4,11.4,9.9,433.0,9.81,100.0,13.51,13.51,12.01,474.5,0.0,100.0,4.83,5.56,QPSO,19.72,22.18,QPSO
67,76456,14,6,70.4,9.0,rush_hour,33,42,13.19,13.19,11.19,492.99,15.61,100.0,14.36,14.36,11.86,510.24,11.21,100.0,16.27,16.27,14.27,607.16,0.01,100.0,8.11,5.6,QPSO,18.9,21.55,QPSO
68,98978,16,6,99.3,13.0,rush_hour,20,37,14.73,14.73,12.73,539.29,11.45,100.0,16.2,16.2,14.2,658.0,8.78,100.0,18.88,18.88,16.88,735.37,0.01,100.0,9.09,10.38,QPSO,22.01,24.62,QPSO
69,45057,18,5,113.5,8.5,incident,20,37,18.93,18.93,16.93,650.82,9.46,100.0,21.18,21.18,19.18,807.73,8.26,100.0,26.14,26.14,24.14,960.8,0.01,100.0,10.64,11.75,QPSO,27.6,29.88,QPSO
70,78580,17,6,75.0,8.5,rush_hour,25,26,31.4,31.4,28.9,697.06,9.41,100.0,31.98,31.98,29.48,766.45,6.41,100.0,33.25,33.25,30.75,765.12,0.01,100.0,1.8,1.95,QPSO,5.55,6.0,QPSO
71,35099,14,6,82.7,9.0,rush_hour,28,49,20.3,20.3,17.8,582.85,13.41,100.0,21.36,21.36,18.86,613.04,9.32,100.0,24.89,24.89,22.39,723.05,0.01,100.0,4.94,5.59,QPSO,18.41,20.47,QPSO
72,56255,12,6,98.2,17.5,uniform,31,32,12.77,12.77,11.27,395.89,11.43,100.0,12.77,12.77,11.27,395.89,8.46,100.0,15.76,15.76,14.26,496.42,0.0,100.0,0.0,0.0,Tie,18.93,20.92,QPSO
73,86215,9,3,115.3,8.5,uniform,24,32,8.7,8.7,7.7,271.14,10.04,100.0,9.46,9.46,8.46,317.81,8.4,100.0,11.69,11.69,10.69,416.03,0.0,100.0,8.02,8.97,QPSO,25.54,27.92,QPSO
74,17544,15,4,103.8,13.0,incident,28,49,14.21,14.21,12.71,562.04,15.78,100.0,13.76,13.76,11.76,517.85,13.98,100.0,14.8,14.8,13.3,576.26,0.01,100.0,-3.29,-8.11,Classical PSO,3.98,4.43,QPSO
75,49351,10,4,116.7,9.0,uniform,20,34,12.48,12.48,11.48,480.46,8.75,100.0,13.22,13.22,12.22,510.17,8.85,100.0,14.09,14.09,13.09,536.57,0.01,100.0,5.65,6.11,QPSO,11.45,12.33,QPSO
